Number,Beverage Name,Ingredients,Additives,Category,Amount for Diet (mL),Amount for Bulking (mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
225,Beetroot,Water 200mL,Peppermint,Bulking,122mL,291mL,228,11,9,7
226,Matcha,Water 200mL,Lemon Zest,Diet,108mL,201mL,232,6,22,2
227,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,193mL,350mL,216,17,37,7
228,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,149mL,264mL,175,6,2,3
229,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Protein Powder, Honey",Bulking,174mL,290mL,228,2,16,2
230,Turmeric,Water 200mL,Lemon Zest,Diet,183mL,340mL,61,14,25,7
231,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Ginger, Honey",Bulking,128mL,350mL,54,12,12,1
232,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,125mL,208mL,299,18,26,0
233,Turmeric,Water 200mL,Basil,Bulking,101mL,358mL,138,17,6,5
234,Lemon Water,"Lemon Juice 20mL, Water 180mL",Protein Powder,Diet,171mL,273mL,113,14,2,5
235,Coconut Water,Water 200mL,"Lemon Zest, Sea Salt",Bulking,138mL,347mL,290,5,20,6
236,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cocoa Powder, Ginger",Bulking,189mL,372mL,291,5,39,6
237,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Chia Seeds, Honey",Diet,153mL,271mL,239,1,5,9
238,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Cinnamon",Bulking,188mL,344mL,163,0,15,3
239,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Honey,Bulking,196mL,289mL,165,15,33,4
240,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,134mL,318mL,272,9,12,9
241,Kombucha,Water 200mL,Lavender,Diet,109mL,331mL,135,16,5,3
242,Coconut Water,Water 200mL,"Basil, Maca Powder",Diet,115mL,310mL,175,18,34,8
243,Turmeric,Water 200mL,"Rose Petals, Peppermint",Diet,173mL,310mL,154,3,6,0
244,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Vanilla Extract",Diet,143mL,244mL,58,4,28,7
245,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Chia Seeds",Bulking,155mL,387mL,132,11,9,3
246,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Mint,Diet,119mL,227mL,60,0,17,0
247,Green Tea,"Green Tea Leaves 5g, Water 200mL",Honey,Diet,137mL,350mL,293,17,22,7
248,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Chia Seeds",Diet,186mL,311mL,255,11,38,6
249,Black Coffee,"Coffee Beans 10g, Water 200mL","Chia Seeds, Cocoa Powder",Diet,189mL,396mL,295,6,5,0
250,Pomegranate Juice,Water 200mL,"Sea Salt, Maple Syrup",Diet,125mL,345mL,173,7,29,9
251,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Cocoa Powder, Honey",Bulking,198mL,349mL,223,13,2,4
252,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Protein Powder, Cocoa Powder",Diet,180mL,371mL,171,15,1,0
253,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Cinnamon",Diet,199mL,220mL,279,12,2,4
254,Pomegranate Juice,Water 200mL,Sea Salt,Bulking,150mL,358mL,197,17,13,0
255,Beetroot,Water 200mL,Maple Syrup,Diet,147mL,249mL,76,8,7,6
256,Milkshake,"Ice Cream 50g, Milk 150mL","Cocoa Powder, Protein Powder",Bulking,198mL,278mL,171,13,14,3
257,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,139mL,293mL,52,17,30,6
258,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Mint",Bulking,129mL,241mL,125,3,24,5
259,Coconut Water,Water 200mL,"Basil, Rose Petals",Diet,140mL,322mL,276,6,0,1
260,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,140mL,239mL,264,7,23,0
261,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Honey,Diet,135mL,213mL,254,5,9,4
262,Milkshake,"Ice Cream 50g, Milk 150mL","Mint, Ginger",Bulking,132mL,220mL,216,7,31,2
263,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,152mL,212mL,112,1,3,0
264,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Protein Powder, Chia Seeds",Bulking,122mL,227mL,176,3,22,4
265,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Cinnamon",Bulking,198mL,247mL,237,1,15,9
266,Matcha,Water 200mL,"Sea Salt, Maple Syrup",Diet,149mL,359mL,73,14,0,7
267,Elderberry,Water 200mL,"Peppermint, Rose Petals",Bulking,131mL,387mL,127,17,16,8
268,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Honey",Bulking,161mL,391mL,293,3,17,7
269,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Cinnamon,Bulking,126mL,367mL,109,7,18,5
270,Turmeric,Water 200mL,"Sea Salt, Lavender",Diet,189mL,344mL,280,9,11,1
271,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Honey,Bulking,143mL,265mL,146,4,27,8
272,Turmeric,Water 200mL,Lemon Zest,Diet,133mL,222mL,127,8,27,8
273,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Chia Seeds,Bulking,172mL,392mL,229,6,7,1
274,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Mint",Diet,122mL,343mL,160,8,10,5
275,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,124mL,295mL,239,11,30,7
276,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Ginger, Cocoa Powder",Bulking,101mL,344mL,188,14,37,8
277,Beetroot,Water 200mL,"Rose Petals, Lemon Zest",Diet,130mL,248mL,284,12,17,7
278,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Cocoa Powder",Diet,175mL,207mL,206,16,21,2
279,Coconut Water,Water 200mL,"Rose Petals, Maple Syrup",Diet,146mL,388mL,246,18,6,1
280,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Honey",Bulking,104mL,252mL,116,10,13,2
281,Green Tea,"Green Tea Leaves 5g, Water 200mL",Chia Seeds,Diet,146mL,232mL,172,17,7,9
282,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cocoa Powder, Mint",Diet,103mL,329mL,63,14,25,4
283,Elderberry,Water 200mL,"Lavender, Maple Syrup",Diet,138mL,206mL,163,19,13,4
284,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Honey",Diet,128mL,240mL,251,11,14,7
285,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Chia Seeds",Bulking,142mL,225mL,101,12,25,0
286,Elderberry,Water 200mL,"Basil, Maple Syrup",Bulking,180mL,359mL,188,13,10,9
287,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Chia Seeds,Diet,128mL,359mL,105,9,11,7
288,Protein Shake,"Whey Protein 30g, Milk 200mL","Ginger, Cocoa Powder",Bulking,151mL,328mL,295,8,2,9
289,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Cocoa Powder,Bulking,165mL,361mL,133,2,39,9
290,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Protein Powder,Diet,110mL,349mL,66,2,32,7
291,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Protein Powder",Bulking,142mL,251mL,58,8,35,2
292,Aloe Vera,Water 200mL,"Lemon Zest, Peppermint",Bulking,119mL,266mL,150,11,17,5
293,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Chia Seeds",Diet,152mL,327mL,255,11,26,1
294,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Chia Seeds",Diet,142mL,391mL,258,9,1,2
295,Pomegranate Juice,Water 200mL,Peppermint,Diet,144mL,260mL,278,1,5,6
296,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,107mL,374mL,64,9,36,8
297,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Ginger",Diet,151mL,238mL,240,10,6,8
298,Coconut Water,Water 200mL,Maple Syrup,Diet,136mL,272mL,218,8,22,8
299,Protein Shake,"Whey Protein 30g, Milk 200mL","Protein Powder, Mint",Bulking,193mL,335mL,128,14,18,4
300,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,190mL,381mL,258,15,21,7
301,Black Coffee,"Coffee Beans 10g, Water 200mL","Mint, Ginger",Diet,121mL,289mL,242,0,9,2
302,Pomegranate Juice,Water 200mL,Lemon Zest,Bulking,144mL,315mL,260,2,21,5
303,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,197mL,236mL,186,18,18,7
304,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Ginger",Bulking,121mL,273mL,76,4,37,4
305,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Vanilla Extract,Bulking,176mL,347mL,177,16,22,8
306,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,103mL,243mL,75,0,25,5
307,Black Coffee,"Coffee Beans 10g, Water 200mL",Cocoa Powder,Diet,198mL,332mL,256,16,38,0
308,Lemon Water,"Lemon Juice 20mL, Water 180mL","Chia Seeds, Protein Powder",Diet,111mL,398mL,133,12,31,5
309,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Honey",Diet,120mL,261mL,144,7,13,5
310,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Ginger,Bulking,134mL,377mL,113,0,25,5
311,Aloe Vera,Water 200mL,Sea Salt,Diet,191mL,257mL,239,1,6,5
312,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cinnamon,Diet,163mL,358mL,297,14,18,9
313,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Cocoa Powder, Vanilla Extract",Diet,107mL,346mL,151,0,30,2
314,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,126mL,378mL,222,6,17,2
315,Beetroot,Water 200mL,Rose Petals,Diet,125mL,361mL,208,1,12,8
316,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Chia Seeds",Diet,175mL,289mL,290,12,7,0
317,Lemon Water,"Lemon Juice 20mL, Water 180mL",Vanilla Extract,Diet,199mL,344mL,263,19,18,2
318,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Vanilla Extract, Cocoa Powder",Diet,194mL,322mL,297,9,6,0
319,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Cocoa Powder",Bulking,136mL,222mL,288,19,12,5
320,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Cinnamon",Diet,157mL,254mL,72,16,10,8
321,Kombucha,Water 200mL,Basil,Diet,123mL,235mL,271,15,34,7
322,Milkshake,"Ice Cream 50g, Milk 150mL","Ginger, Honey",Bulking,128mL,392mL,157,2,39,6
323,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Protein Powder",Bulking,115mL,300mL,135,10,33,5
324,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Chia Seeds,Diet,127mL,212mL,166,9,16,4
325,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Ginger",Diet,119mL,240mL,54,1,16,9
326,Milkshake,"Ice Cream 50g, Milk 150mL","Vanilla Extract, Protein Powder",Bulking,194mL,371mL,193,4,19,4
327,Elderberry,Water 200mL,Maca Powder,Bulking,189mL,330mL,191,1,29,8
328,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,190mL,351mL,182,13,14,3
329,Green Tea,"Green Tea Leaves 5g, Water 200mL",Chia Seeds,Diet,191mL,218mL,220,0,14,8
330,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,132mL,389mL,284,6,34,3
331,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Ginger,Bulking,160mL,329mL,276,11,15,1
332,Kombucha,Water 200mL,Rose Petals,Diet,198mL,272mL,289,19,4,4
333,Lemon Water,"Lemon Juice 20mL, Water 180mL","Mint, Honey",Diet,168mL,322mL,267,16,8,3
334,Black Coffee,"Coffee Beans 10g, Water 200mL","Honey, Ginger",Diet,101mL,362mL,211,12,29,9
335,Beetroot,Water 200mL,"Maple Syrup, Peppermint",Bulking,185mL,309mL,244,11,33,7
336,Protein Shake,"Whey Protein 30g, Milk 200mL","Honey, Mint",Bulking,123mL,302mL,196,11,27,7
337,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,133mL,274mL,202,2,18,5
338,Protein Shake,"Whey Protein 30g, Milk 200mL","Cinnamon, Cocoa Powder",Bulking,132mL,246mL,223,2,19,7
339,Coconut Water,Water 200mL,"Peppermint, Maca Powder",Diet,181mL,218mL,207,11,25,9
340,Lemon Water,"Lemon Juice 20mL, Water 180mL",Cinnamon,Diet,181mL,397mL,92,14,37,2
341,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Ginger",Diet,150mL,348mL,156,19,33,7
342,Kombucha,Water 200mL,Basil,Diet,189mL,214mL,274,14,14,3
343,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Protein Powder,Bulking,116mL,314mL,120,1,26,1
344,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Protein Powder",Bulking,195mL,221mL,256,0,32,8
345,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Chia Seeds",Bulking,108mL,365mL,237,11,23,8
346,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Honey, Vanilla Extract",Diet,154mL,268mL,133,18,11,7
347,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,198mL,378mL,261,16,33,1
348,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Cocoa Powder, Protein Powder",Diet,126mL,327mL,105,3,32,4
349,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Chia Seeds",Diet,164mL,266mL,59,18,35,5
350,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Honey,Bulking,160mL,325mL,217,1,34,2
351,Kombucha,Water 200mL,Lemon Zest,Bulking,168mL,397mL,149,6,15,5
352,Milkshake,"Ice Cream 50g, Milk 150mL","Honey, Vanilla Extract",Bulking,180mL,345mL,83,16,12,6
353,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cocoa Powder,Bulking,155mL,228mL,141,16,25,8
354,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Protein Powder,Bulking,196mL,310mL,163,11,29,3
355,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Cinnamon",Diet,187mL,228mL,201,7,16,7
356,Matcha,Water 200mL,Maca Powder,Bulking,191mL,228mL,199,4,14,0
357,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,151mL,252mL,233,9,17,7
358,Milkshake,"Ice Cream 50g, Milk 150mL",Cinnamon,Bulking,197mL,269mL,265,18,6,3
359,Elderberry,Water 200mL,"Rose Petals, Sea Salt",Diet,161mL,300mL,293,16,17,2
360,Green Tea,"Green Tea Leaves 5g, Water 200mL","Honey, Protein Powder",Diet,166mL,316mL,102,7,11,1
361,Aloe Vera,Water 200mL,Basil,Bulking,156mL,288mL,295,6,37,5
362,Milkshake,"Ice Cream 50g, Milk 150mL","Cinnamon, Protein Powder",Bulking,116mL,388mL,124,18,39,3
363,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Chia Seeds",Bulking,127mL,256mL,97,13,14,7
364,Milkshake,"Ice Cream 50g, Milk 150mL","Protein Powder, Vanilla Extract",Bulking,175mL,238mL,246,8,9,0
365,Protein Shake,"Whey Protein 30g, Milk 200mL",Vanilla Extract,Bulking,165mL,298mL,204,6,25,6
366,Milkshake,"Ice Cream 50g, Milk 150mL",Vanilla Extract,Bulking,137mL,225mL,179,8,20,0
367,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Cocoa Powder",Diet,139mL,295mL,123,5,5,9
368,Black Coffee,"Coffee Beans 10g, Water 200mL",Chia Seeds,Diet,125mL,358mL,125,4,27,4
369,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Cocoa Powder",Diet,185mL,210mL,285,12,27,4
370,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,139mL,298mL,181,3,3,7
371,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Vanilla Extract,Diet,101mL,377mL,67,3,18,0
372,Green Tea,"Green Tea Leaves 5g, Water 200mL",Cinnamon,Diet,196mL,391mL,116,15,25,5
373,Protein Shake,"Whey Protein 30g, Milk 200mL","Vanilla Extract, Cocoa Powder",Bulking,122mL,296mL,161,16,36,7
374,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,165mL,278mL,90,4,9,7
375,Black Coffee,"Coffee Beans 10g, Water 200mL",Mint,Diet,167mL,279mL,56,0,17,4
376,Protein Shake,"Whey Protein 30g, Milk 200mL","Mint, Cinnamon",Bulking,141mL,353mL,234,2,22,5
377,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,104mL,325mL,152,16,0,8
378,Black Coffee,"Coffee Beans 10g, Water 200mL",Protein Powder,Diet,156mL,214mL,250,15,34,1
379,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Honey",Bulking,136mL,222mL,123,7,21,7
380,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Honey",Diet,107mL,200mL,176,1,3,4
381,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Mint, Cinnamon",Bulking,116mL,397mL,235,17,31,6
382,Matcha,Water 200mL,"Basil, Lavender",Diet,184mL,202mL,116,1,19,7
383,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Mint, Cocoa Powder",Diet,161mL,310mL,65,15,5,1
384,Turmeric,Water 200mL,"Maple Syrup, Sea Salt",Bulking,179mL,362mL,203,12,4,9
385,Milkshake,"Ice Cream 50g, Milk 150mL",Chia Seeds,Bulking,118mL,359mL,70,5,9,4
386,Protein Shake,"Whey Protein 30g, Milk 200mL",Cocoa Powder,Bulking,155mL,228mL,104,6,5,6
387,Lemon Water,"Lemon Juice 20mL, Water 180mL","Vanilla Extract, Chia Seeds",Diet,102mL,323mL,220,2,9,7
388,Protein Shake,"Whey Protein 30g, Milk 200mL",Honey,Bulking,174mL,391mL,162,18,21,9
389,Green Tea,"Green Tea Leaves 5g, Water 200mL","Ginger, Mint",Diet,183mL,265mL,126,6,24,6
390,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Honey",Diet,195mL,242mL,94,7,22,5
391,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Mint",Diet,199mL,301mL,135,8,10,1
392,Matcha,Water 200mL,"Maca Powder, Lemon Zest",Bulking,164mL,211mL,132,4,38,4
393,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Ginger, Cocoa Powder",Diet,117mL,255mL,95,1,34,2
394,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Honey",Diet,140mL,242mL,175,18,15,8
395,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Chia Seeds, Cinnamon",Bulking,126mL,373mL,221,15,0,3
396,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Ginger,Bulking,121mL,242mL,151,19,24,0
397,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Chia Seeds,Bulking,141mL,287mL,260,11,3,8
398,Turmeric,Water 200mL,Lemon Zest,Bulking,169mL,334mL,120,9,2,2
399,Beetroot,Water 200mL,Peppermint,Bulking,134mL,278mL,282,1,31,3
400,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL","Protein Powder, Mint",Diet,157mL,376mL,74,9,4,8
401,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Honey",Diet,151mL,232mL,151,11,16,2
402,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,140mL,363mL,185,8,36,3
403,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Vanilla Extract, Ginger",Bulking,137mL,295mL,161,8,12,8
404,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Honey, Mint",Bulking,150mL,365mL,238,6,22,0
405,Black Coffee,"Coffee Beans 10g, Water 200mL","Protein Powder, Mint",Diet,167mL,341mL,59,14,39,7
406,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cinnamon,Diet,136mL,267mL,150,16,38,3
407,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Protein Powder,Bulking,176mL,220mL,160,2,5,0
408,Protein Shake,"Whey Protein 30g, Milk 200mL",Ginger,Bulking,190mL,236mL,74,1,9,3
409,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Mint",Bulking,191mL,281mL,120,1,37,7
410,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g","Vanilla Extract, Protein Powder",Bulking,123mL,241mL,290,15,23,0
411,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Protein Powder, Cocoa Powder",Diet,171mL,385mL,280,6,23,9
412,Lemon Water,"Lemon Juice 20mL, Water 180mL","Protein Powder, Mint",Diet,168mL,327mL,270,19,38,1
413,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Cinnamon, Mint",Bulking,150mL,247mL,160,10,30,3
414,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL","Chia Seeds, Protein Powder",Diet,132mL,399mL,62,7,15,2
415,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Ginger,Diet,143mL,339mL,129,3,2,9
416,Milkshake,"Ice Cream 50g, Milk 150mL",Vanilla Extract,Bulking,128mL,334mL,137,2,36,2
417,Black Coffee,"Coffee Beans 10g, Water 200mL",Cinnamon,Diet,102mL,251mL,78,3,37,7
418,Pomegranate Juice,Water 200mL,Rose Petals,Bulking,130mL,280mL,171,11,17,7
419,Kombucha,Water 200mL,Sea Salt,Bulking,157mL,202mL,253,4,33,1
420,Black Coffee,"Coffee Beans 10g, Water 200mL",Vanilla Extract,Diet,126mL,364mL,239,1,29,7
421,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Chia Seeds, Protein Powder",Bulking,121mL,204mL,202,8,11,9
422,Pomegranate Juice,Water 200mL,Peppermint,Bulking,110mL,217mL,147,8,14,0
423,Milkshake,"Ice Cream 50g, Milk 150mL",Ginger,Bulking,145mL,265mL,102,9,16,9
424,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Cinnamon,Bulking,161mL,267mL,133,12,0,6
425,Beetroot,Water 200mL,"Lemon Zest, Sea Salt",Bulking,181mL,357mL,67,16,17,0
426,Turmeric,Water 200mL,"Lemon Zest, Lavender",Bulking,153mL,374mL,176,15,19,5
427,Turmeric,Water 200mL,"Rose Petals, Maca Powder",Bulking,111mL,398mL,247,5,14,8
428,Black Coffee,"Coffee Beans 10g, Water 200mL",Honey,Diet,128mL,381mL,185,14,32,8
429,Green Tea,"Green Tea Leaves 5g, Water 200mL","Protein Powder, Ginger",Diet,161mL,298mL,230,17,18,1
430,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Ginger,Bulking,178mL,354mL,182,15,5,3
431,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL","Vanilla Extract, Mint",Bulking,145mL,269mL,290,11,8,2
432,Smoothie,"Mixed Berries 50g, Banana 30g, Yogurt 100mL",Vanilla Extract,Bulking,100mL,347mL,109,4,24,9
433,Milkshake,"Ice Cream 50g, Milk 150mL",Protein Powder,Bulking,133mL,348mL,118,4,26,0
434,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL","Chia Seeds, Ginger",Bulking,181mL,302mL,273,10,16,8
435,Nutrient Dense Juice,"Spinach 30g, Kale 20g, Green Apple 50g, Water 100mL",Mint,Bulking,112mL,233mL,62,1,26,9
436,Matcha,Water 200mL,"Peppermint, Lemon Zest",Diet,132mL,358mL,291,19,39,3
437,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Ginger,Bulking,125mL,362mL,266,1,21,8
438,Weight Gainer Shake,"Mass Gainer Powder 50g, Milk 200mL, Banana 50g",Mint,Bulking,127mL,329mL,224,16,38,0
439,Matcha,Water 200mL,"Maple Syrup, Basil",Diet,128mL,258mL,58,17,24,3
440,Pomegranate Juice,Water 200mL,"Maple Syrup, Peppermint",Bulking,188mL,213mL,261,16,15,0
441,Matcha,Water 200mL,Peppermint,Bulking,102mL,323mL,51,8,25,9
442,Lemon Water,"Lemon Juice 20mL, Water 180mL","Cinnamon, Vanilla Extract",Diet,150mL,280mL,95,15,26,8
443,Lemon Water,"Lemon Juice 20mL, Water 180mL","Honey, Protein Powder",Diet,129mL,216mL,80,0,25,3
444,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Cocoa Powder,Diet,174mL,359mL,228,14,23,5
445,Beetroot,Water 200mL,Sea Salt,Diet,100mL,364mL,261,19,27,6
446,Herbal Tea,"Herbal Mix (Chamomile, Mint, Lavender) 5g, Water 200mL",Vanilla Extract,Diet,103mL,251mL,205,8,6,1
447,Black Coffee,"Coffee Beans 10g, Water 200mL",Ginger,Diet,105mL,373mL,290,18,25,9
448,Vegetable Juice,"Carrot 50g, Celery 30g, Beetroot 20g, Water 100mL",Cinnamon,Diet,173mL,393mL,51,3,28,1
449,Green Tea,"Green Tea Leaves 5g, Water 200mL","Cinnamon, Vanilla Extract",Diet,120mL,238mL,68,7,7,3
