Number,Food Name,Ingredients,Spices,Food Type,Category,Amount for Diet (g/mL),Amount for Bulking (g/mL),Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
165,Fruit Kebabs,"Apple 53g, Spices Black Pepper","Cumin, Hot Sauce, Thyme",Fruit,Diet,89g/111mL,169g/226mL,381,21,95,21
166,Roasted Carrots,"Orange 99g, Spices Turmeric, Cardamom",Cardamom,Vegetable,Diet,83g/120mL,169g/291mL,416,39,76,13
167,Chili Con Carne,"Carrot 128g, Spices Cinnamon, Cardamom, Cayenne Pepper","Ginger, Cayenne Pepper, Cinnamon",Spicy,Diet,75g/107mL,109g/240mL,244,45,38,13
168,Apple Pie,"Oat 50g, Spices Turmeric, Rosemary, Ginger",Cayenne Pepper,Fruit,Diet,65g/144mL,162g/220mL,588,12,80,9
169,Grilled Vegetables,"Egg 68g, Spices Ginger, Black Pepper",Cumin,Vegetable,Diet,86g/130mL,179g/281mL,574,31,87,27
170,Vegetable Curry,"Milk 52g, Spices Chili Powder","Cumin, Turmeric, Cayenne Pepper",Vegetable,Diet,80g/101mL,187g/253mL,423,35,35,8
171,Fried Rice,"Wheat Flour 63g, Spices Oregano, Rosemary","Thyme, Cardamom",Savory,Diet,81g/131mL,154g/218mL,316,29,22,14
172,Pork Ribs,"Tuna 80g, Spices Black Pepper, Black Mustard Seed, Thyme",Rosemary,Meat,Diet,76g/141mL,114g/252mL,482,11,75,22
173,Jalapeno Poppers,"Beef Steak 109g, Spices Rosemary, Ginger, Paprika","Cayenne Pepper, Cinnamon",Spicy,Diet,59g/140mL,137g/266mL,761,43,77,5
174,Mushroom Risotto,"Beef Steak 82g, Spices Cayenne Pepper, Garlic Powder","Oregano, Thyme",Savory,Diet,83g/144mL,185g/240mL,796,13,54,7
175,Salad Bowl,"Kale 130g, Spices Chili Powder","Cumin, Black Mustard Seed",Vegetable,Diet,71g/146mL,189g/263mL,582,26,51,25
176,Apple Pie,"Cheese 54g, Spices Turmeric, Cumin",Thyme,Fruit,Diet,69g/103mL,129g/261mL,703,36,44,27
177,Vanilla Custard,"Broccoli 146g, Spices Paprika, Cinnamon, Cayenne Pepper","Cinnamon, Cumin, Rosemary",Sweet,Diet,68g/144mL,147g/262mL,489,10,34,19
178,Beef Stew,"Tuna 77g, Spices Cumin, Garlic Powder, Black Mustard Seed",Turmeric,Savory,Diet,58g/145mL,134g/282mL,310,5,91,28
179,Hot Chicken Wings,"Wheat Flour 105g, Spices Rosemary, Black Pepper",Hot Sauce,Spicy,Diet,51g/128mL,175g/220mL,450,5,43,14
180,Chili Con Carne,"Milk 103g, Spices Black Pepper, Paprika","Chili Powder, Hot Sauce, Oregano, Rosemary",Spicy,Diet,80g/103mL,141g/278mL,441,5,73,9
181,Berry Smoothie,"Almond 118g, Spices Black Pepper, Paprika, Cayenne Pepper","Oregano, Ginger",Fruit,Diet,69g/108mL,111g/295mL,608,19,21,21
182,Garlic Bread,"Kale 90g, Spices Turmeric, Thyme, Paprika","Oregano, Chili Powder, Cayenne Pepper, Paprika",Savory,Diet,79g/141mL,199g/285mL,442,20,73,7
183,Jalapeno Poppers,"Apple 127g, Spices Oregano, Black Pepper, Rosemary",Thyme,Spicy,Diet,99g/144mL,170g/254mL,588,11,44,13
184,Apple Pie,"Honey 106g, Spices Rosemary, Garlic Powder, Black Mustard Seed","Black Pepper, Thyme",Fruit,Diet,65g/146mL,183g/227mL,246,49,93,16
185,Vegetable Curry,"Egg 91g, Spices Oregano, Chili Powder","Rosemary, Cinnamon",Vegetable,Diet,97g/123mL,162g/251mL,201,45,95,29
186,Maple Pecan Pie,"Beef Steak 133g, Spices Black Mustard Seed, Paprika, Oregano",Ginger,Sweet,Diet,57g/102mL,119g/230mL,250,26,78,9
187,Jalapeno Poppers,"Apple 128g, Spices Cardamom, Cumin, Cinnamon","Black Mustard Seed, Garlic Powder",Spicy,Diet,78g/140mL,191g/216mL,528,22,66,9
188,Hot Chicken Wings,"Carrot 103g, Spices Cayenne Pepper, Ginger","Cumin, Ginger, Rosemary",Spicy,Diet,83g/107mL,194g/290mL,269,18,95,14
189,Chili Con Carne,"Salmon 70g, Spices Hot Sauce, Cinnamon","Cardamom, Cinnamon, Turmeric",Spicy,Diet,94g/147mL,153g/224mL,790,18,47,22
190,Lamb Chops,"Tomato 101g, Spices Chili Powder",Thyme,Meat,Diet,81g/119mL,185g/239mL,331,27,51,27
191,Hot Chicken Wings,"Carrot 129g, Spices Thyme",Cayenne Pepper,Spicy,Diet,65g/120mL,175g/269mL,718,39,33,7
192,Salad Bowl,"Beef Steak 61g, Spices Hot Sauce",Hot Sauce,Vegetable,Diet,70g/138mL,185g/237mL,434,5,58,22
193,Vegetable Curry,"Tuna 81g, Spices Garlic Powder, Cinnamon, Garlic Powder","Chili Powder, Cinnamon, Hot Sauce, Rosemary",Vegetable,Diet,62g/133mL,160g/217mL,360,43,34,12
194,Fried Rice,"Cheese 145g, Spices Paprika, Cumin, Garlic Powder",Cumin,Savory,Diet,96g/137mL,144g/265mL,605,30,25,29
195,Salad Bowl,"Apple 50g, Spices Cardamom",Oregano,Vegetable,Diet,62g/133mL,138g/243mL,566,22,45,11
196,Duck Confit,"Butter 106g, Spices Cinnamon, Cardamom, Oregano","Ginger, Oregano, Thyme",Meat,Diet,89g/111mL,105g/226mL,654,44,23,13
197,Pork Ribs,"Egg 87g, Spices Hot Sauce","Paprika, Cinnamon, Black Mustard Seed",Meat,Diet,99g/115mL,146g/239mL,787,43,61,22
198,Vanilla Custard,"Carrot 60g, Spices Paprika","Ginger, Cardamom, Black Pepper",Sweet,Diet,70g/113mL,142g/258mL,597,35,81,10
199,Apple Pie,"Apple 118g, Spices Cumin, Black Mustard Seed, Cardamom","Black Pepper, Oregano, Garlic Powder",Fruit,Diet,83g/117mL,108g/283mL,479,37,21,29
200,Vegetable Curry,"Wheat Flour 90g, Spices Ginger, Oregano, Ginger","Turmeric, Cardamom, Chili Powder, Cinnamon",Vegetable,Diet,63g/109mL,166g/235mL,559,29,30,16
201,Beef Stew,"Onion 115g, Spices Oregano","Rosemary, Cayenne Pepper",Savory,Diet,65g/131mL,131g/214mL,239,46,46,11
202,Grilled Salmon,"Egg 139g, Spices Cinnamon, Black Mustard Seed","Cayenne Pepper, Cardamom",Meat,Diet,99g/145mL,189g/231mL,533,27,32,19
203,Salad Bowl,"Broccoli 55g, Spices Cumin, Thyme","Paprika, Ginger",Vegetable,Diet,92g/133mL,183g/265mL,384,10,70,15
204,Chocolate Cake,"Yogurt 128g, Spices Garlic Powder, Hot Sauce, Cumin",Chili Powder,Sweet,Diet,96g/137mL,198g/239mL,408,38,62,5
205,Roast Chicken,"Orange 105g, Spices Black Mustard Seed","Ginger, Black Pepper, Cinnamon",Meat,Diet,90g/134mL,164g/279mL,450,20,72,10
206,Mango Sorbet,"Yogurt 132g, Spices Paprika, Cumin","Oregano, Cayenne Pepper",Fruit,Diet,94g/149mL,128g/239mL,463,44,78,19
207,Roasted Carrots,"Oat 87g, Spices Chili Powder, Oregano, Oregano",Rosemary,Vegetable,Diet,66g/120mL,199g/256mL,662,46,65,21
208,Apple Pie,"Orange 101g, Spices Rosemary","Oregano, Cardamom",Fruit,Diet,96g/145mL,172g/230mL,457,45,73,19
209,Garlic Bread,"Apple 65g, Spices Turmeric, Black Mustard Seed","Turmeric, Chili Powder, Ginger",Savory,Diet,71g/138mL,167g/278mL,596,5,25,8
210,Blueberry Muffin,"Honey 139g, Spices Cayenne Pepper",Cayenne Pepper,Sweet,Diet,69g/106mL,160g/200mL,659,27,67,9
211,Mango Sorbet,"Beef Steak 105g, Spices Oregano, Black Mustard Seed","Rosemary, Ginger, Cardamom",Fruit,Diet,73g/111mL,157g/240mL,278,33,91,18
212,Stir Fried Greens,"Tuna 135g, Spices Cardamom, Thyme","Black Pepper, Paprika, Ginger",Vegetable,Diet,64g/140mL,194g/279mL,694,49,61,28
213,Salad Bowl,"Turkey Slices 102g, Spices Rosemary, Paprika",Turmeric,Vegetable,Diet,50g/139mL,126g/275mL,526,22,38,10
214,Fried Rice,"Butter 68g, Spices Paprika, Cardamom","Turmeric, Cardamom, Ginger, Cayenne Pepper",Savory,Diet,79g/121mL,119g/202mL,770,37,97,27
215,Chili Con Carne,"Chicken Breast 50g, Spices Cinnamon, Thyme","Garlic Powder, Thyme",Spicy,Diet,71g/120mL,146g/268mL,293,46,83,10
216,Roast Chicken,"Honey 95g, Spices Cayenne Pepper, Chili Powder","Thyme, Cayenne Pepper, Cumin, Rosemary",Meat,Diet,87g/124mL,126g/230mL,308,44,72,5
217,Grilled Salmon,"Honey 125g, Spices Cinnamon","Ginger, Black Mustard Seed, Paprika, Black Pepper",Meat,Diet,90g/141mL,181g/297mL,364,36,64,21
218,Jalapeno Poppers,"Banana 59g, Spices Rosemary","Thyme, Rosemary, Black Mustard Seed",Spicy,Diet,96g/116mL,183g/255mL,239,17,44,14
219,Vanilla Custard,"Garlic 115g, Spices Cinnamon, Cumin, Cumin",Rosemary,Sweet,Diet,82g/137mL,176g/204mL,352,26,88,27
220,Berry Smoothie,"Garlic 116g, Spices Hot Sauce","Turmeric, Paprika, Cardamom",Fruit,Diet,57g/118mL,191g/281mL,653,27,98,19
221,Stir Fried Greens,"Tomato 93g, Spices Rosemary, Cardamom","Turmeric, Chili Powder, Cayenne Pepper",Vegetable,Diet,89g/108mL,100g/261mL,257,33,70,11
222,Berry Smoothie,"Kale 117g, Spices Black Pepper, Hot Sauce, Garlic Powder",Chili Powder,Fruit,Diet,98g/138mL,142g/227mL,765,27,68,11
223,Roasted Carrots,"Cheese 121g, Spices Paprika, Cardamom, Thyme","Paprika, Cardamom",Vegetable,Diet,58g/148mL,132g/299mL,428,43,31,18
224,Hot Chicken Wings,"Beef Steak 108g, Spices Ginger, Cayenne Pepper, Hot Sauce","Cinnamon, Rosemary, Garlic Powder",Spicy,Diet,88g/129mL,155g/249mL,784,45,65,9
225,Berry Smoothie,"Chicken Breast 143g, Spices Garlic Powder, Hot Sauce","Black Mustard Seed, Cayenne Pepper, Ginger, Turmeric",Fruit,Diet,65g/105mL,126g/269mL,284,42,55,7
226,Grilled Salmon,"Carrot 74g, Spices Black Pepper, Black Mustard Seed, Rosemary","Thyme, Garlic Powder, Cumin",Meat,Diet,62g/144mL,148g/280mL,762,34,66,5
227,Grilled Salmon,"Egg 133g, Spices Hot Sauce, Hot Sauce, Hot Sauce",Hot Sauce,Meat,Diet,53g/114mL,196g/211mL,667,46,25,26
228,Salad Bowl,"Tomato 89g, Spices Cinnamon","Cardamom, Ginger",Vegetable,Diet,82g/116mL,182g/289mL,263,48,72,19
229,Apple Pie,"Beef Steak 74g, Spices Black Pepper","Garlic Powder, Chili Powder, Thyme, Rosemary",Fruit,Diet,96g/121mL,168g/255mL,534,10,79,8
230,Pumpkin Spice Latte,"Tomato 83g, Spices Turmeric, Hot Sauce, Black Mustard Seed","Oregano, Paprika, Turmeric, Cardamom",Sweet,Diet,73g/145mL,157g/265mL,306,16,56,27
231,Szechuan Noodles,"Cheese 102g, Spices Thyme, Cayenne Pepper, Cumin",Oregano,Spicy,Diet,89g/103mL,140g/201mL,235,13,61,24
232,Chili Con Carne,"Oat 117g, Spices Cardamom","Oregano, Ginger, Cinnamon, Thyme",Spicy,Diet,72g/124mL,148g/223mL,462,47,31,27
233,Fruit Salad,"Orange 146g, Spices Cayenne Pepper, Oregano, Cinnamon","Paprika, Thyme",Fruit,Diet,64g/102mL,130g/222mL,269,10,53,6
234,Hot Chicken Wings,"Milk 135g, Spices Cinnamon, Chili Powder, Cayenne Pepper","Oregano, Cardamom",Spicy,Diet,97g/132mL,145g/260mL,377,43,36,14
235,Beef Stew,"Cheese 70g, Spices Thyme, Black Mustard Seed","Garlic Powder, Cayenne Pepper",Savory,Diet,98g/116mL,173g/289mL,467,34,25,18
236,Blueberry Muffin,"Tomato 58g, Spices Black Mustard Seed","Cardamom, Cumin, Cayenne Pepper, Cinnamon",Sweet,Diet,79g/106mL,148g/277mL,683,8,78,27
237,Szechuan Noodles,"Salmon 66g, Spices Cardamom, Cayenne Pepper","Turmeric, Chili Powder, Thyme",Spicy,Diet,99g/102mL,128g/284mL,474,49,92,27
238,Maple Pecan Pie,"Chicken Breast 70g, Spices Paprika","Thyme, Black Pepper, Black Mustard Seed",Sweet,Diet,90g/120mL,142g/217mL,348,27,96,27
239,Chicken Soup,"Garlic 90g, Spices Oregano, Cardamom","Cardamom, Cayenne Pepper, Ginger, Oregano",Savory,Diet,70g/112mL,146g/269mL,598,9,38,15
240,Maple Pecan Pie,"Broccoli 144g, Spices Turmeric","Cinnamon, Ginger, Rosemary",Sweet,Diet,80g/130mL,193g/280mL,665,43,49,7
241,Beef Stew,"Yogurt 138g, Spices Paprika, Ginger","Oregano, Cinnamon, Ginger, Turmeric",Savory,Diet,60g/141mL,171g/207mL,748,40,99,26
242,Beef Stew,"Soy 112g, Spices Oregano, Cayenne Pepper, Ginger","Rosemary, Hot Sauce, Chili Powder, Black Mustard Seed",Savory,Diet,59g/138mL,134g/255mL,575,7,93,26
243,Maple Pecan Pie,"Salmon 80g, Spices Cinnamon, Black Mustard Seed","Turmeric, Chili Powder",Sweet,Diet,55g/135mL,161g/264mL,401,12,45,19
244,Duck Confit,"Chicken Breast 116g, Spices Black Pepper","Cinnamon, Rosemary, Hot Sauce, Oregano",Meat,Diet,98g/132mL,180g/226mL,798,16,91,29
245,Lamb Chops,"Beef Steak 145g, Spices Paprika, Chili Powder, Cinnamon","Black Mustard Seed, Rosemary, Chili Powder",Meat,Diet,65g/125mL,181g/207mL,603,31,98,19
246,Blueberry Muffin,"Garlic 88g, Spices Black Pepper, Cardamom","Turmeric, Cardamom",Sweet,Diet,66g/140mL,174g/202mL,618,10,73,23
247,Duck Confit,"Soy 75g, Spices Thyme, Thyme","Cardamom, Black Pepper",Meat,Diet,82g/104mL,123g/200mL,254,40,20,23
248,Fruit Salad,"Banana 103g, Spices Hot Sauce, Thyme","Black Mustard Seed, Cumin, Rosemary, Garlic Powder",Fruit,Diet,93g/135mL,143g/293mL,739,18,86,17
249,Lamb Chops,"Orange 120g, Spices Cardamom",Black Mustard Seed,Meat,Diet,97g/141mL,181g/294mL,405,20,50,17
250,Jalapeno Poppers,"Salmon 97g, Spices Rosemary, Paprika",Black Pepper,Spicy,Diet,58g/149mL,129g/207mL,603,28,98,21
251,Salad Bowl,"Banana 116g, Spices Oregano, Turmeric, Oregano",Hot Sauce,Vegetable,Diet,79g/102mL,193g/255mL,495,31,59,20
252,Chili Con Carne,"Honey 84g, Spices Cinnamon, Garlic Powder, Turmeric",Rosemary,Spicy,Diet,89g/138mL,187g/281mL,660,45,42,28
253,Berry Smoothie,"Cheese 57g, Spices Cumin, Ginger, Paprika","Cardamom, Turmeric, Chili Powder",Fruit,Diet,51g/135mL,178g/266mL,233,40,31,18
254,Hot Chicken Wings,"Egg 71g, Spices Thyme, Thyme","Ginger, Thyme, Cinnamon, Chili Powder",Spicy,Diet,60g/105mL,195g/225mL,343,31,47,17
255,Pumpkin Spice Latte,"Apple 113g, Spices Oregano, Cayenne Pepper","Chili Powder, Cardamom",Sweet,Diet,86g/119mL,113g/265mL,493,5,93,8
256,Chili Con Carne,"Banana 135g, Spices Paprika, Black Mustard Seed, Rosemary","Rosemary, Thyme, Black Mustard Seed, Cayenne Pepper",Spicy,Diet,70g/100mL,102g/236mL,736,24,81,7
257,Roasted Carrots,"Garlic 140g, Spices Rosemary, Ginger, Black Mustard Seed",Cumin,Vegetable,Diet,91g/105mL,109g/211mL,351,38,97,26
258,Grilled Salmon,"Oat 137g, Spices Cardamom, Cayenne Pepper","Cardamom, Hot Sauce",Meat,Diet,79g/134mL,150g/228mL,675,19,94,27
259,Mushroom Risotto,"Tuna 116g, Spices Turmeric","Ginger, Cinnamon, Black Mustard Seed",Savory,Diet,54g/110mL,106g/253mL,578,32,28,8
260,Pumpkin Spice Latte,"Carrot 52g, Spices Black Pepper, Paprika, Black Mustard Seed","Ginger, Chili Powder, Hot Sauce, Garlic Powder",Sweet,Diet,85g/132mL,105g/214mL,782,18,55,15
261,Berry Smoothie,"Onion 60g, Spices Paprika","Chili Powder, Oregano",Fruit,Diet,53g/119mL,138g/211mL,261,7,27,12
262,Spicy Tacos,"Tuna 97g, Spices Garlic Powder","Black Mustard Seed, Cumin, Thyme",Spicy,Diet,72g/131mL,123g/249mL,336,22,26,5
263,Pork Ribs,"Carrot 144g, Spices Black Mustard Seed, Hot Sauce, Rosemary","Turmeric, Rosemary, Thyme, Paprika",Meat,Diet,57g/112mL,109g/226mL,638,34,73,7
264,Salad Bowl,"Banana 78g, Spices Rosemary","Black Mustard Seed, Turmeric, Garlic Powder, Oregano",Vegetable,Diet,59g/149mL,109g/264mL,779,42,95,6
265,Hot Chicken Wings,"Turkey Slices 84g, Spices Turmeric, Cinnamon, Cayenne Pepper","Black Mustard Seed, Turmeric, Cinnamon, Cayenne Pepper",Spicy,Diet,62g/138mL,166g/208mL,718,31,64,19
266,Vegetable Curry,"Tuna 123g, Spices Black Pepper, Cinnamon, Turmeric","Oregano, Garlic Powder",Vegetable,Diet,93g/114mL,107g/275mL,475,23,76,13
267,Maple Pecan Pie,"Carrot 94g, Spices Black Mustard Seed, Black Pepper",Black Pepper,Sweet,Diet,57g/114mL,190g/234mL,538,12,29,17
268,Salad Bowl,"Garlic 121g, Spices Cinnamon, Oregano","Ginger, Cinnamon, Cumin, Paprika",Vegetable,Diet,53g/113mL,131g/283mL,330,18,68,27
269,Fruit Salad,"Soy 79g, Spices Ginger, Black Pepper",Cinnamon,Fruit,Diet,84g/116mL,176g/239mL,646,49,87,20
270,Pork Ribs,"Oat 89g, Spices Garlic Powder, Black Mustard Seed, Cardamom","Rosemary, Cinnamon, Oregano",Meat,Diet,67g/106mL,166g/208mL,301,20,54,26
271,Beef Stew,"Oat 113g, Spices Cayenne Pepper, Cinnamon, Turmeric","Black Pepper, Cinnamon",Savory,Diet,76g/141mL,143g/211mL,471,12,31,20
272,Berry Smoothie,"Kale 135g, Spices Cinnamon","Cayenne Pepper, Cinnamon",Fruit,Diet,55g/126mL,141g/211mL,605,21,87,25
273,Pork Ribs,"Broccoli 112g, Spices Turmeric, Cinnamon","Ginger, Turmeric",Meat,Diet,84g/136mL,131g/215mL,228,40,72,18
274,Beef Stew,"Apple 52g, Spices Paprika","Rosemary, Thyme, Black Mustard Seed, Garlic Powder",Savory,Diet,85g/133mL,112g/274mL,631,38,54,25
275,Apple Pie,"Chicken Breast 122g, Spices Cardamom, Black Mustard Seed",Rosemary,Fruit,Diet,71g/146mL,154g/251mL,772,30,87,7
276,Mushroom Risotto,"Orange 103g, Spices Turmeric, Hot Sauce","Cayenne Pepper, Turmeric, Oregano",Savory,Diet,54g/139mL,165g/291mL,505,11,96,23
277,Chocolate Cake,"Kale 75g, Spices Hot Sauce","Cumin, Cardamom",Sweet,Diet,51g/148mL,158g/212mL,303,40,59,29
278,Vanilla Custard,"Apple 138g, Spices Turmeric, Oregano","Chili Powder, Oregano, Cumin, Black Mustard Seed",Sweet,Diet,99g/142mL,154g/272mL,694,33,89,22
279,Jalapeno Poppers,"Garlic 115g, Spices Garlic Powder, Black Mustard Seed",Cinnamon,Spicy,Diet,99g/132mL,106g/254mL,446,28,60,25
280,Chocolate Cake,"Oat 80g, Spices Cardamom, Garlic Powder, Cayenne Pepper","Oregano, Black Mustard Seed, Rosemary",Sweet,Diet,72g/130mL,174g/291mL,572,16,79,23
281,Chocolate Cake,"Turkey Slices 135g, Spices Rosemary","Black Pepper, Hot Sauce, Ginger, Cardamom",Sweet,Diet,82g/133mL,113g/232mL,450,26,97,18
282,Pork Ribs,"Yogurt 62g, Spices Oregano, Chili Powder","Cardamom, Oregano",Meat,Diet,88g/149mL,169g/200mL,353,21,95,19
283,Mango Sorbet,"Orange 117g, Spices Cumin",Black Pepper,Fruit,Diet,66g/125mL,179g/264mL,659,42,56,29
284,Garlic Bread,"Salmon 90g, Spices Ginger","Cardamom, Paprika",Savory,Diet,57g/117mL,143g/295mL,370,31,91,12
285,Lamb Chops,"Oat 120g, Spices Turmeric, Cayenne Pepper, Cardamom",Hot Sauce,Meat,Diet,57g/142mL,169g/208mL,718,15,94,5
286,Fruit Kebabs,"Honey 115g, Spices Cardamom","Cardamom, Cumin",Fruit,Diet,99g/135mL,114g/235mL,794,8,92,6
287,Fruit Salad,"Chicken Breast 142g, Spices Thyme, Black Pepper, Rosemary","Cayenne Pepper, Cinnamon, Ginger",Fruit,Diet,63g/115mL,190g/292mL,789,47,47,14
288,Beef Stew,"Onion 92g, Spices Chili Powder, Rosemary","Cumin, Chili Powder, Paprika",Savory,Diet,71g/136mL,150g/204mL,202,9,34,19
289,Grilled Vegetables,"Orange 82g, Spices Oregano, Rosemary","Garlic Powder, Oregano",Vegetable,Diet,88g/115mL,103g/207mL,393,14,33,11
290,Garlic Bread,"Orange 55g, Spices Rosemary","Garlic Powder, Hot Sauce",Savory,Diet,91g/140mL,123g/260mL,716,33,69,11
291,Roast Chicken,"Salmon 137g, Spices Cinnamon","Chili Powder, Garlic Powder",Meat,Diet,89g/108mL,105g/209mL,412,15,68,29
292,Vanilla Custard,"Orange 118g, Spices Paprika, Black Pepper","Oregano, Cumin",Sweet,Diet,70g/133mL,172g/216mL,597,21,77,13
293,Jalapeno Poppers,"Almond 141g, Spices Chili Powder, Cumin","Rosemary, Cinnamon, Chili Powder, Thyme",Spicy,Diet,72g/139mL,127g/250mL,209,18,68,28
294,Garlic Bread,"Turkey Slices 147g, Spices Cardamom","Black Mustard Seed, Garlic Powder, Paprika",Savory,Diet,88g/110mL,128g/270mL,634,41,62,10
295,Apple Pie,"Butter 91g, Spices Cayenne Pepper, Ginger, Ginger","Cumin, Paprika, Chili Powder, Black Mustard Seed",Fruit,Diet,87g/111mL,145g/283mL,754,28,34,28
296,Maple Pecan Pie,"Orange 112g, Spices Black Mustard Seed, Chili Powder, Cinnamon","Hot Sauce, Ginger, Cayenne Pepper, Paprika",Sweet,Diet,77g/103mL,197g/259mL,602,24,35,18
297,Fruit Kebabs,"Broccoli 65g, Spices Garlic Powder, Garlic Powder","Cinnamon, Rosemary, Oregano",Fruit,Diet,82g/118mL,103g/260mL,465,33,63,19
298,Stir Fried Greens,"Soy 77g, Spices Thyme, Black Mustard Seed","Paprika, Black Pepper, Oregano",Vegetable,Diet,57g/114mL,173g/275mL,359,36,85,21
299,Apple Pie,"Milk 53g, Spices Thyme",Turmeric,Fruit,Diet,98g/117mL,165g/269mL,415,31,28,16
300,Spicy Tacos,"Soy 104g, Spices Black Mustard Seed, Cumin, Chili Powder",Hot Sauce,Spicy,Diet,52g/137mL,188g/262mL,336,14,39,12
301,Garlic Bread,"Yogurt 58g, Spices Cardamom, Turmeric, Cumin",Cardamom,Savory,Diet,54g/103mL,157g/254mL,772,11,92,16
302,Chicken Soup,"Beef Steak 121g, Spices Cumin, Black Mustard Seed, Black Pepper","Cinnamon, Black Mustard Seed, Black Pepper, Cayenne Pepper",Savory,Diet,51g/142mL,152g/248mL,517,5,61,17
303,Garlic Bread,"Milk 131g, Spices Garlic Powder, Oregano","Turmeric, Cayenne Pepper, Garlic Powder, Ginger",Savory,Diet,56g/111mL,124g/258mL,653,27,55,26
304,Beef Stew,"Wheat Flour 142g, Spices Cayenne Pepper, Rosemary","Cayenne Pepper, Garlic Powder",Savory,Diet,58g/103mL,102g/241mL,737,30,63,21
305,Jalapeno Poppers,"Onion 121g, Spices Rosemary, Hot Sauce","Thyme, Cinnamon, Cayenne Pepper",Spicy,Diet,91g/106mL,128g/286mL,623,16,47,16
306,Hot Chicken Wings,"Broccoli 121g, Spices Hot Sauce, Chili Powder, Thyme","Cinnamon, Ginger, Black Mustard Seed, Hot Sauce",Spicy,Diet,97g/115mL,167g/239mL,494,45,78,11
307,Beef Stew,"Salmon 101g, Spices Hot Sauce, Garlic Powder, Oregano",Cumin,Savory,Diet,84g/125mL,188g/210mL,311,37,39,25
308,Grilled Vegetables,"Apple 135g, Spices Thyme, Thyme",Cinnamon,Vegetable,Diet,98g/107mL,117g/254mL,720,36,90,21
309,Roasted Carrots,"Cheese 116g, Spices Cinnamon",Rosemary,Vegetable,Diet,89g/124mL,111g/209mL,444,19,89,14
310,Mango Sorbet,"Carrot 119g, Spices Thyme",Turmeric,Fruit,Diet,67g/142mL,167g/200mL,717,27,48,15
311,Mushroom Risotto,"Almond 130g, Spices Garlic Powder","Hot Sauce, Black Mustard Seed, Oregano",Savory,Diet,92g/149mL,131g/226mL,579,15,91,24
312,Roasted Carrots,"Tomato 118g, Spices Thyme, Cumin","Cayenne Pepper, Turmeric",Vegetable,Diet,84g/115mL,104g/222mL,525,36,30,11
313,Beef Stew,"Apple 82g, Spices Cinnamon, Oregano","Cayenne Pepper, Chili Powder, Hot Sauce",Savory,Diet,96g/124mL,100g/219mL,226,35,42,23
314,Apple Pie,"Beef Steak 130g, Spices Cumin, Hot Sauce, Thyme",Cinnamon,Fruit,Diet,63g/126mL,155g/266mL,429,17,83,6
315,Pork Ribs,"Apple 120g, Spices Cinnamon, Hot Sauce, Cayenne Pepper","Oregano, Cayenne Pepper, Cumin, Rosemary",Meat,Diet,50g/115mL,145g/298mL,494,18,27,14
316,Vegetable Curry,"Orange 135g, Spices Rosemary, Cumin","Oregano, Cinnamon, Black Pepper",Vegetable,Diet,61g/142mL,190g/234mL,604,24,25,11
317,Vegetable Curry,"Garlic 79g, Spices Oregano, Cinnamon, Black Pepper",Hot Sauce,Vegetable,Diet,86g/126mL,146g/278mL,318,13,77,22
318,Pumpkin Spice Latte,"Turkey Slices 149g, Spices Oregano","Cumin, Cayenne Pepper, Rosemary, Hot Sauce",Sweet,Diet,64g/132mL,101g/225mL,351,48,78,12
319,Fruit Kebabs,"Soy 83g, Spices Paprika, Cayenne Pepper, Paprika","Cumin, Cinnamon",Fruit,Diet,86g/145mL,190g/206mL,454,27,50,21
320,Mango Sorbet,"Tuna 77g, Spices Oregano, Cumin, Garlic Powder","Ginger, Cumin, Oregano",Fruit,Diet,98g/119mL,115g/210mL,773,41,42,15
321,Berry Smoothie,"Yogurt 100g, Spices Chili Powder","Cinnamon, Cumin, Cardamom, Hot Sauce",Fruit,Diet,52g/121mL,118g/233mL,347,44,73,11
322,Fruit Kebabs,"Honey 87g, Spices Black Mustard Seed, Cinnamon","Black Pepper, Turmeric",Fruit,Diet,95g/136mL,194g/254mL,570,32,98,8
323,Spicy Tacos,"Onion 70g, Spices Chili Powder, Paprika","Oregano, Turmeric, Rosemary, Black Pepper",Spicy,Diet,92g/142mL,150g/288mL,469,49,77,21
324,Vegetable Curry,"Apple 125g, Spices Cayenne Pepper, Black Pepper",Cumin,Vegetable,Diet,52g/128mL,127g/297mL,731,41,35,16
325,Fruit Kebabs,"Tuna 123g, Spices Ginger","Thyme, Rosemary, Black Mustard Seed, Garlic Powder",Fruit,Diet,80g/139mL,190g/217mL,224,40,55,14
326,Chocolate Cake,"Wheat Flour 100g, Spices Paprika","Black Pepper, Chili Powder",Sweet,Diet,63g/121mL,108g/268mL,610,35,81,26
327,Stir Fried Greens,"Apple 114g, Spices Garlic Powder, Cinnamon","Black Mustard Seed, Cayenne Pepper, Turmeric",Vegetable,Diet,95g/112mL,192g/292mL,692,19,97,13
328,Garlic Bread,"Almond 78g, Spices Cardamom, Cardamom","Rosemary, Cardamom",Savory,Diet,73g/105mL,195g/235mL,476,43,85,23
329,Chili Con Carne,"Carrot 103g, Spices Hot Sauce, Chili Powder",Cayenne Pepper,Spicy,Diet,59g/118mL,109g/268mL,482,12,49,21
